"","rho_e","beta1_rho_T=0.3","beta1_rho_T=0.5","beta1_rho_T=0.7","beta1_rho_T=0.9","beta2_rho_T=0.3","beta2_rho_T=0.5","beta2_rho_T=0.7","beta2_rho_T=0.9"
"mu1=mu2=1_Bivariate",0.5,-0.575,-0.468,-0.36,-0.245,-0.966,-0.94,-0.929,-0.934
"mu1=mu2=1_Bivariate",0.6,-0.635,-0.531,-0.424,-0.309,-0.976,-0.953,-0.945,-0.956
"mu1=mu2=1_Bivariate",0.7,-0.709,-0.611,-0.507,-0.391,-0.977,-0.956,-0.952,-0.97
"mu1=mu2=1_Bivariate",0.8,-0.808,-0.718,-0.621,-0.508,-0.961,-0.938,-0.933,-0.955
"mu1=mu2=1_Bivariate",0.9,-0.95,-0.883,-0.813,-0.73,-0.904,-0.866,-0.842,-0.84
"mu1=mu2=1_Univariate",0.7,-0.35,-0.169,0.013,0.194,-0.877,-0.793,-0.71,-0.626
"mu1=mu2=1_Derived",0.5,-0.332,-0.147,0.039,0.225,-0.869,-0.783,-0.696,-0.605
"mu1=mu2=1_Derived",0.6,-0.331,-0.148,0.039,0.226,-0.87,-0.784,-0.698,-0.608
"mu1=mu2=1_Derived",0.7,-0.331,-0.147,0.039,0.225,-0.872,-0.786,-0.699,-0.61
"mu1=mu2=1_Derived",0.8,-0.332,-0.148,0.038,0.223,-0.873,-0.788,-0.701,-0.613
"mu1=mu2=1_Derived",0.9,-0.334,-0.15,0.036,0.221,-0.875,-0.79,-0.704,-0.615
"mu1=mu2=5_Bivariate",0.5,-0.974,-0.963,-0.952,-0.941,-1.922,-1.918,-1.915,-1.911
"mu1=mu2=5_Bivariate",0.6,-0.981,-0.97,-0.959,-0.949,-1.922,-1.92,-1.917,-1.915
"mu1=mu2=5_Bivariate",0.7,-0.991,-0.979,-0.968,-0.957,-1.92,-1.919,-1.919,-1.918
"mu1=mu2=5_Bivariate",0.8,-1.006,-0.994,-0.981,-0.969,-1.912,-1.914,-1.915,-1.917
"mu1=mu2=5_Bivariate",0.9,-1.042,-1.026,-1.01,-0.993,-1.882,-1.888,-1.895,-1.903
"mu1=mu2=5_Univariate",0.7,-0.958,-0.946,-0.934,-0.922,-1.916,-1.91,-1.903,-1.897
"mu1=mu2=5_Derived",0.5,-0.954,-0.942,-0.93,-0.918,-1.912,-1.905,-1.899,-1.892
"mu1=mu2=5_Derived",0.6,-0.954,-0.942,-0.93,-0.918,-1.913,-1.906,-1.899,-1.892
"mu1=mu2=5_Derived",0.7,-0.954,-0.942,-0.93,-0.918,-1.913,-1.906,-1.899,-1.893
"mu1=mu2=5_Derived",0.8,-0.955,-0.943,-0.93,-0.918,-1.913,-1.907,-1.9,-1.893
"mu1=mu2=5_Derived",0.9,-0.955,-0.943,-0.931,-0.919,-1.914,-1.908,-1.901,-1.894
